GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unit-testing-bank,default,Bank,0,82,0,6,0,18,0,10,0,7
unit-testing-bank,default,Customer,2,65,1,13,0,15,1,11,0,5
unit-testing-bank,default,Calculator,0,28,0,2,0,7,0,6,0,5
unit-testing-bank,default,BankAccount,0,68,0,8,0,20,0,10,0,6
